record_id,brand,model,capacity_ps,energy_per_cycle_kwh,water_per_cycle_l,noise_dba,programme_duration_min,warranty_months,energy_class,source_url,source_method,source_note
EPREL-1576176,Siemens,SN23EC03ME,14,0.645,9.0,42,255,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/1576176,official_product_page,Official EPREL product page; empirical values verified in session/audit.
IDX-BOSCH-SMD6ECX17E,Bosch,SMD6ECX17E,14,0.49,9.0,42,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-SIEMENS-SN95EX16CE,Siemens,SN95EX16CE,14,0.49,9.0,42,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-SIEMENS-SN55ES16CE,Siemens,SN55ES16CE,14,0.49,9.0,42,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-SIEMENS-SX87EX01CE,Siemens,SX87EX01CE,14,0.49,9.0,42,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-NEFF-S289ECX0ME,Neff,S289ECX0ME,14,0.54,9.0,38,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-NEFF-S189ECX0ME,Neff,S189ECX0ME,14,0.54,9.0,38,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-AEG-GN851XT,AEG,GN851XT 911473151,14,0.49,8.4,38,310,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-SIEMENS-SX65YX07CE,Siemens,SX65YX07CE,14,0.54,9.0,40,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-SIEMENS-SN65YX07CE,Siemens,SN65YX07CE,14,0.54,9.0,40,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-BOSCH-SMS6ECI13E,Bosch,SMS6ECI13E,14,0.54,9.0,38,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-BOSCH-SMI6ECS17E,Bosch,SMI6ECS17E,14,0.49,9.0,42,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-BOSCH-SMS8YCI04E,Bosch,SMS8YCI04E,14,0.54,9.0,40,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-BOSCH-SMS6YCI15E,Bosch,SMS6YCI15E,14,0.54,9.0,40,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-BOSCH-SMU6YCS0ME,Bosch,SMU6YCS0ME,14,0.54,9.0,40,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-AEG-GU8200A2SNW,AEG,GU8200A2SNW 911484022,14,0.54,8.4,40,270,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-BOSCH-SBV6YCX0ME,Bosch,SBV6YCX0ME,14,0.54,9.0,40,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
EPREL-2088104,Bosch,SBT4ECX33E,14,0.543,9.0,42,270,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/2088104,official_product_page,Official EPREL individual product page; values directly shown on page.
EPREL-2068965,Siemens,SN63EX27CE,14,0.543,9.0,42,270,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/2068965,official_product_page,Official EPREL individual product page; values directly shown on page.
EPREL-2253240,Beko,BDIN16440,14,0.747,10.9,48,204,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/2253240,official_product_page,Official EPREL individual product page; values directly shown on page.
EPREL-581126,Beko,KBDIN184E0Q,14,0.951,9.5,44,220,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/581126,official_product_page,Official EPREL individual product page; values directly shown on page.
