run_id,instance_id,model_id,record_id,field_name,cited_value,supported
S4-04__B__nvidia_nemotron-3-super-120b-a12b_free,S4-04,nvidia/nemotron-3-super-120b-a12b:free,EPREL-1405065,water_per_cycle_l,9.5,True
S4-04__B__nvidia_nemotron-3-super-120b-a12b_free,S4-04,nvidia/nemotron-3-super-120b-a12b:free,EPREL-1405065,noise_dba,46,True
S4-04__B__nvidia_nemotron-3-super-120b-a12b_free,S4-04,nvidia/nemotron-3-super-120b-a12b:free,EPREL-1405065,programme_duration_min,255,True
S4-06__B__nvidia_nemotron-3-super-120b-a12b_free,S4-06,nvidia/nemotron-3-super-120b-a12b:free,EPREL-1806358,brand,Bosch,True
S4-06__B__nvidia_nemotron-3-super-120b-a12b_free,S4-06,nvidia/nemotron-3-super-120b-a12b:free,EPREL-1806358,model,SMU6ZCS10S,True
S4-06__B__nvidia_nemotron-3-super-120b-a12b_free,S4-06,nvidia/nemotron-3-super-120b-a12b:free,EPREL-1806358,capacity_ps,14,True
S4-06__B__nvidia_nemotron-3-super-120b-a12b_free,S4-06,nvidia/nemotron-3-super-120b-a12b:free,EPREL-1806358,energy_per_cycle_kwh,0.645,True
S4-06__B__nvidia_nemotron-3-super-120b-a12b_free,S4-06,nvidia/nemotron-3-super-120b-a12b:free,EPREL-1806358,water_per_cycle_l,9.0,True
S4-06__B__nvidia_nemotron-3-super-120b-a12b_free,S4-06,nvidia/nemotron-3-super-120b-a12b:free,EPREL-1806358,noise_dba,40,True
S4-06__B__nvidia_nemotron-3-super-120b-a12b_free,S4-06,nvidia/nemotron-3-super-120b-a12b:free,EPREL-1806358,programme_duration_min,215,True
S5-02__B__nvidia_nemotron-3-super-120b-a12b_free,S5-02,nvidia/nemotron-3-super-120b-a12b:free,EPREL-2064127,energy_per_cycle_kwh,0.489,False
